Start,Gls,Sh,SoT,Home_1_Away_0,xG,SCA,GCA,Elo_Diff
0,0,0.0,0.0,1.0,0.0,0.0,0.0,25
0,0,0.0,0.0,0.0,0.0,0.0,0.0,-70
1,0,0.0,0.0,1.0,0.0,0.0,0.0,-20
1,0,0.0,0.0,0.0,0.0,0.0,0.0,113
0,0,0.0,0.0,1.0,0.0,0.0,0.0,-58
1,0,0.0,0.0,1.0,0.0,0.0,0.0,16
0,0,0.0,0.0,1.0,0.0,0.0,0.0,57
1,0,0.0,0.0,0.0,0.0,0.0,0.0,32
0,0,0.0,0.0,0.0,0.0,0.0,0.0,18
1,0,0.0,0.0,1.0,0.0,0.0,0.0,83
1,0,0.0,0.0,0.0,0.0,0.0,0.0,-102
1,0,0.0,0.0,0.0,0.0,0.0,0.0,-182
0,0,0.0,0.0,1.0,0.0,0.0,0.0,-14
1,0,0.0,0.0,0.0,0.0,0.0,0.0,-86
0,0,0.0,0.0,1.0,0.0,0.0,0.0,-78
1,0,0.0,0.0,0.0,0.0,0.0,0.0,-109
0,0,0.0,0.0,1.0,0.0,0.0,0.0,-22
1,0,0.0,0.0,0.0,0.0,0.0,0.0,-35
1,0,0.0,0.0,1.0,0.0,0.0,0.0,27
0,0,0.0,0.0,1.0,0.0,0.0,0.0,85
0,0,0.0,0.0,0.0,0.0,0.0,0.0,-3
0,0,0.0,0.0,1.0,0.0,0.0,0.0,-203
0,0,0.0,0.0,0.0,0.0,0.0,0.0,34
0,0,0.0,0.0,1.0,0.0,0.0,0.0,-26
0,0,0.0,0.0,0.0,0.0,0.0,0.0,-92
0,0,0.0,0.0,1.0,0.0,0.0,0.0,-17
0,0,0.0,0.0,0.0,0.0,0.0,0.0,-110
0,0,0.0,0.0,1.0,0.0,0.0,0.0,52
0,0,0.0,0.0,0.0,0.0,0.0,0.0,-36
0,0,0.0,0.0,0.0,0.0,0.0,0.0,35
0,0,0.0,0.0,1.0,0.0,0.0,0.0,-86
1,0,0.0,0.0,1.0,0.0,0.0,0.0,-50
0,0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,0,0.0,0.0,1.0,0.0,0.0,0.0,-30
1,0,0.0,0.0,0.0,0.0,0.0,0.0,-33
1,0,0.0,0.0,0.0,0.0,0.0,0.0,-97
1,0,0.0,0.0,1.0,0.0,0.0,0.0,-98
1,0,0.0,0.0,1.0,0.0,0.0,0.0,-56
1,0,0.0,0.0,1.0,0.0,0.0,0.0,-270
1,0,0.0,0.0,0.0,0.0,0.0,0.0,-19
1,0,0.0,0.0,0.0,0.0,0.0,0.0,61
0,0,0.0,0.0,0.0,0.0,0.0,0.0,2
1,0,0.0,0.0,1.0,0.0,0.0,0.0,55
1,0,0.0,0.0,0.0,0.0,0.0,0.0,-113
1,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
1,0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,0,0.0,0.0,1.0,0.0,0.0,0.0,-50
1,0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,0,0.0,0.0,1.0,0.0,0.0,0.0,107
0,0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,0,0.0,0.0,1.0,0.0,0.0,0.0,70
1,0,0.0,0.0,0.0,0.0,0.0,0.0,-300
1,0,0.0,0.0,1.0,0.0,0.0,0.0,-28
1,0,0.0,0.0,1.0,0.0,0.0,0.0,64
1,0,0.0,0.0,0.0,0.0,0.0,0.0,-71
1,0,0.0,0.0,1.0,0.0,0.0,0.0,-30
1,0,0.0,0.0,1.0,0.0,0.0,0.0,-118
