Start,Gls,Sh,SoT,Home_1_Away_0,xG,SCA,GCA,Elo_Diff
0,1,5.0,2.0,1.0,0.29225352112676056,2.73943661971831,0.5070422535211268,58
0,1,1.0,1.0,0.0,0.29225352112676056,2.73943661971831,0.5070422535211268,128
0,1,5.0,1.0,0.0,0.29225352112676056,2.73943661971831,0.5070422535211268,35
0,1,1.0,1.0,1.0,0.29225352112676056,2.73943661971831,0.5070422535211268,80
0,2,3.0,2.0,0.0,0.29225352112676056,2.73943661971831,0.5070422535211268,137
0,2,4.0,2.0,0.0,0.29225352112676056,2.73943661971831,0.5070422535211268,212
1,1,7.0,1.0,0.5053191489361702,0.29225352112676056,2.73943661971831,0.5070422535211268,45
0,1,3.0,1.0,1.0,0.29225352112676056,2.73943661971831,0.5070422535211268,158
0,1,1.0,1.0,0.0,0.29225352112676056,2.73943661971831,0.5070422535211268,72
0,1,1.0,1.0,0.0,0.29225352112676056,2.73943661971831,0.5070422535211268,18
0,1,2.0,1.0,0.0,0.29225352112676056,2.73943661971831,0.5070422535211268,195
0,1,5.0,2.0,0.0,0.29225352112676056,2.73943661971831,0.5070422535211268,224
0,2,6.0,2.0,1.0,0.29225352112676056,2.73943661971831,0.5070422535211268,212
0,1,5.0,3.0,1.0,0.29225352112676056,2.73943661971831,0.5070422535211268,222
0,2,5.0,2.0,0.0,0.29225352112676056,2.73943661971831,0.5070422535211268,129
1,1,3.0,1.0,0.5053191489361702,0.29225352112676056,2.73943661971831,0.5070422535211268,34
0,1,3.0,2.0,1.0,0.7,0.0,0.0,67
0,1,2.0,1.0,1.0,0.3,1.0,0.0,329
1,1,4.0,2.0,0.5053191489361702,0.29225352112676056,2.73943661971831,0.5070422535211268,154
0,1,1.0,1.0,0.0,0.8,0.0,0.0,243
1,1,5.0,3.0,0.5053191489361702,0.29225352112676056,2.73943661971831,0.5070422535211268,289
0,1,4.0,3.0,1.0,0.3,8.0,1.0,244
0,1,4.0,1.0,1.0,0.7,2.0,0.0,303
0,1,1.0,1.0,1.0,0.4,4.0,3.0,248
0,1,3.0,2.0,1.0,0.2,4.0,0.0,266
0,1,7.0,2.0,1.0,1.4,6.0,2.0,217
0,2,4.0,2.0,1.0,0.9,4.0,1.0,369
1,1,7.0,3.0,0.5053191489361702,0.29225352112676056,2.73943661971831,0.5070422535211268,-24
0,2,5.0,4.0,0.0,1.2,3.0,3.0,246
0,1,6.0,3.0,1.0,0.9,7.0,2.0,24
0,1,4.0,2.0,1.0,0.7,2.0,0.0,276
0,1,4.0,1.0,0.0,0.1,3.0,1.0,202
0,2,4.0,3.0,0.0,1.3,6.0,2.0,211
0,2,2.0,2.0,1.0,0.9,3.0,1.0,246
0,1,3.0,2.0,0.0,0.6,2.0,1.0,331
0,1,6.0,2.0,1.0,0.3,3.0,0.0,235
0,1,5.0,1.0,1.0,0.1,4.0,1.0,252
0,1,4.0,1.0,1.0,0.5,3.0,0.0,214
1,1,3.0,2.0,0.5053191489361702,0.5,4.0,0.0,48
0,1,4.0,3.0,1.0,0.1,2.0,0.0,196
1,1,4.0,2.0,0.5053191489361702,0.2,2.0,1.0,-111
1,2,5.0,3.0,0.5053191489361702,0.6,2.0,1.0,-103
0,2,6.0,3.0,1.0,0.5,4.0,2.0,137
1,1,5.0,3.0,0.5053191489361702,0.7,4.0,0.0,-56
1,2,4.0,3.0,0.5053191489361702,0.5,6.0,0.0,261
1,2,6.0,2.0,0.5053191489361702,1.9,2.0,1.0,277
0,1,7.0,3.0,1.0,0.5,8.0,0.0,171
0,1,3.0,2.0,0.0,0.2,5.0,2.0,131
0,1,3.0,2.0,1.0,0.7,8.0,4.0,152
0,1,5.0,1.0,1.0,1.0,1.0,1.0,213
0,1,2.0,2.0,1.0,0.2,0.0,0.0,-182
0,2,6.0,5.0,0.0,1.8,4.0,1.0,209
0,1,3.0,2.0,1.0,0.6,4.0,1.0,-24
0,1,2.0,2.0,0.0,0.1,0.0,0.0,96
1,4,4.0,4.0,0.0,1.3,3.0,1.0,82
1,2,2.0,2.0,0.0,0.5,6.0,1.0,-43
1,1,2.0,2.0,1.0,0.5,6.0,2.0,118
1,1,2.0,1.0,0.0,0.4,3.0,0.0,138
1,1,2.0,1.0,1.0,0.4,0.0,0.0,-127
1,1,1.0,1.0,1.0,0.0,4.0,1.0,55
1,1,1.0,1.0,0.0,0.4,2.0,0.0,-107
1,1,2.0,1.0,1.0,0.2,5.0,1.0,156
1,1,3.0,3.0,1.0,0.3,2.0,0.0,260
