Date,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
2011-08-13,Bundesliga,Matchweek 2,Home,D 2–2,Hamburger SV,Hertha BSC,Y,,90,1,,0,,,,0,0,,,,,,,0,,
2011-08-20,Bundesliga,Matchweek 3,Away,L 0–5,Hamburger SV,Bayern Munich,Y,,87,0,,0,,,,0,0,,,,,,,0,,
2011-08-27,Bundesliga,Matchweek 4,Home,L 3–4,Hamburger SV,Köln,Y,,75,1,,0,,,,0,0,,,,,,,0,,
2011-09-17,Bundesliga,Matchweek 6,Home,L 0–1,Hamburger SV,M'Gladbach,N,,34,0,,0,,,,0,0,,,,,,,0,,
2011-09-23,Bundesliga,Matchweek 7,Away,W 2–1,Hamburger SV,Stuttgart,Y,,81,0,,0,,,,0,0,,,,,,,0,,
2011-10-02,Bundesliga,Matchweek 8,Home,L 1–2,Hamburger SV,Schalke 04,N,,25,0,,0,,,,0,0,,,,,,,0,,
2011-10-16,Bundesliga,Matchweek 9,Away,W 2–1,Hamburger SV,Freiburg,Y,,87,1,,0,,,,0,0,,,,,,,0,,
2011-11-05,Bundesliga,Matchweek 12,Away,D 2–2,Hamburger SV,Leverkusen,Y,,89,0,,0,,,,0,0,,,,,,,0,,
2011-11-20,Bundesliga,Matchweek 13,Home,W 2–0,Hamburger SV,Hoffenheim,N,,3,0,,0,,,,0,0,,,,,,,0,,
2011-11-26,Bundesliga,Matchweek 14,Away,D 1–1,Hamburger SV,Hannover 96,Y,,90,0,,0,,,,0,0,,,,,,,0,,
2011-12-04,Bundesliga,Matchweek 15,Home,W 2–0,Hamburger SV,Nürnberg,Y,,61,0,,0,,,,0,0,,,,,,,0,,
2011-12-17,Bundesliga,Matchweek 17,Home,D 1–1,Hamburger SV,Augsburg,N,,15,0,,0,,,,0,0,,,,,,,0,,
2012-01-28,Bundesliga,Matchweek 19,Away,W 2–1,Hamburger SV,Hertha BSC,N,,1,0,,0,,,,0,0,,,,,,,0,,
2012-02-04,Bundesliga,Matchweek 20,Home,D 1–1,Hamburger SV,Bayern Munich,N,,19,0,,0,,,,0,0,,,,,,,0,,
2012-02-12,Bundesliga,Matchweek 21,Away,W 1–0,Hamburger SV,Köln,N,,1,0,,0,,,,0,0,,,,,,,0,,
2012-02-18,Bundesliga,Matchweek 22,Home,L 1–3,Hamburger SV,Werder Bremen,N,,19,0,,0,,,,0,0,,,,,,,0,,
2012-02-24,Bundesliga,Matchweek 23,Away,D 1–1,Hamburger SV,M'Gladbach,N,,7,0,,0,,,,0,0,,,,,,,0,,
2012-03-03,Bundesliga,Matchweek 24,Home,L 0–4,Hamburger SV,Stuttgart,N,,44,0,,0,,,,0,0,,,,,,,0,,
2012-03-11,Bundesliga,Matchweek 25,Away,L 1–3,Hamburger SV,Schalke 04,N,,31,0,,0,,,,0,0,,,,,,,0,,
2012-03-17,Bundesliga,Matchweek 26,Home,L 1–3,Hamburger SV,Freiburg,N,,44,0,,0,,,,0,0,,,,,,,0,,
2012-03-23,Bundesliga,Matchweek 27,Away,L 1–2,Hamburger SV,Wolfsburg,N,,14,0,,0,,,,0,0,,,,,,,0,,
2012-03-31,Bundesliga,Matchweek 28,Away,W 1–0,Hamburger SV,Kaiserslautern,N,,10,0,,0,,,,0,0,,,,,,,0,,
2012-04-08,Bundesliga,Matchweek 29,Home,D 1–1,Hamburger SV,Leverkusen,N,,2,0,,0,,,,0,0,,,,,,,0,,
2012-04-14,Bundesliga,Matchweek 31,Home,W 1–0,Hamburger SV,Hannover 96,Y,,90,1,,0,,,,0,0,,,,,,,0,,
2012-04-21,Bundesliga,Matchweek 32,Away,D 1–1,Hamburger SV,Nürnberg,Y,,84,1,,0,,,,0,0,,,,,,,0,,
2012-04-28,Bundesliga,Matchweek 33,Home,D 0–0,Hamburger SV,Mainz 05,Y,,90,0,,0,,,,0,0,,,,,,,0,,
2012-05-05,Bundesliga,Matchweek 34,Away,L 0–1,Hamburger SV,Augsburg,N,,24,0,,0,,,,0,0,,,,,,,0,,
