Date,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
2014-08-19,Play-off Round,Away,W 3–2,Leverkusen,dk FC Copenhagen,Y,,90,1,0,0,0,,,0,0,,,,,,,0,,
2014-08-27,Play-off Round,Home,W 4–0,Leverkusen,FC Copenhagen,Y,,90,1,0,0,0,,,0,0,,,,,,,0,,
2014-09-16,Group stage,Away,L 0–1,Leverkusen,Monaco,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,
2014-10-01,Group stage,Home,W 3–1,Leverkusen,Benfica,Y,,90,1,0,0,0,,,0,0,,,,,,,0,,
2014-10-22,Group stage,Home,W 2–0,Leverkusen,Zenit,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,
2014-11-04,Group stage,Away,W 2–1,Leverkusen,Zenit,Y,,90,2,0,0,0,,,0,0,,,,,,,0,,
2014-11-26,Group stage,Home,L 0–1,Leverkusen,Monaco,Y,,59,0,0,0,0,,,0,0,,,,,,,0,,
2014-12-09,Group stage,Away,D 0–0,Leverkusen,Benfica,N,,19,0,0,0,0,,,0,0,,,,,,,0,,
2015-02-25,Round of 16,Home,W 1–0,Leverkusen,Atlético Madrid,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,
2015-03-17,Round of 16,Away,L 0 (2)–1 (3),Leverkusen,Atlético Madrid,Y,,77,0,0,0,0,,,0,0,,,,,,,0,,
