Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
2014-08-15,Fri,DFB-Pokal,First round,Away,W 6–0,Leverkusen,Waldalgesheim,N,,29,1,0,0,0,,,0,0,,,,,,,0,,
2014-08-19,Tue,Champions Lg,Play-off Round,Away,W 3–2,Leverkusen,FC Copenhagen,Y,,90,1,0,0,0,,,0,0,,,,,,,0,,
2014-08-23,Sat,Bundesliga,Matchweek 1,Away,W 2–0,Leverkusen,Dortmund,Y,,76,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,,
2014-08-27,Wed,Champions Lg,Play-off Round,Home,W 4–0,Leverkusen,FC Copenhagen,Y,,90,1,0,0,0,,,0,0,,,,,,,0,,
2014-08-30,Sat,Bundesliga,Matchweek 2,Home,W 4–2,Leverkusen,Hertha BSC,Y,,45,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,,
2014-09-12,Fri,Bundesliga,Matchweek 3,Home,D 3–3,Leverkusen,Werder Bremen,N,,29,1,0,0,0,2,1,0,0,0,1,0,1,0,0,0,,
2014-09-16,Tue,Champions Lg,Group stage,Away,L 0–1,Leverkusen,Monaco,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,
2014-09-21,Sun,Bundesliga,Matchweek 4,Away,L 1–4,Leverkusen,Wolfsburg,N,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m
2014-09-24,Wed,Bundesliga,Matchweek 5,Home,W 1–0,Leverkusen,Augsburg,Y,,90,1,0,0,0,4,1,0,0,0,0,0,0,1,0,0,,
2014-09-27,Sat,Bundesliga,Matchweek 6,Away,D 0–0,Leverkusen,Freiburg,Y,,90,0,0,0,0,3,1,1,0,1,4,0,0,2,1,0,,
2014-10-01,Wed,Champions Lg,Group stage,Home,W 3–1,Leverkusen,Benfica,Y,,90,1,0,0,0,,,0,0,,,,,,,0,,
2014-10-04,Sat,Bundesliga,Matchweek 7,Home,D 2–2,Leverkusen,Paderborn 07,Y,,90,0,0,0,0,2,0,1,0,3,4,0,4,0,1,0,,
2014-10-18,Sat,Bundesliga,Matchweek 8,Away,D 3–3,Leverkusen,Stuttgart,Y,,90,2,1,0,0,4,3,0,0,2,1,1,4,1,0,0,,
2014-10-22,Wed,Champions Lg,Group stage,Home,W 2–0,Leverkusen,Zenit,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,
2014-10-25,Sat,Bundesliga,Matchweek 9,Home,W 1–0,Leverkusen,Schalke 04,Y,,90,0,0,0,0,3,0,0,0,0,1,0,2,1,1,0,,
2014-10-29,Wed,DFB-Pokal,Second round,Away,W 2 (5)–2 (4),Leverkusen,Magdeburg,Y,,77,0,0,0,0,,,0,1,,,,,,,0,,
2014-11-01,Sat,Bundesliga,Matchweek 10,Away,L 0–1,Leverkusen,Hamburger SV,Y,,70,0,0,0,0,2,0,0,0,2,1,0,0,1,1,0,,
2014-11-04,Tue,Champions Lg,Group stage,Away,W 2–1,Leverkusen,Zenit,Y,,90,2,0,0,0,,,0,0,,,,,,,0,,
2014-11-08,Sat,Bundesliga,Matchweek 11,Home,D 0–0,Leverkusen,Mainz 05,Y,,68,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,,
2014-11-22,Sat,Bundesliga,Matchweek 12,Away,W 3–1,Leverkusen,Hannover 96,Y,,90,1,0,0,0,2,1,0,0,1,1,2,0,3,2,0,,
2014-11-26,Wed,Champions Lg,Group stage,Home,L 0–1,Leverkusen,Monaco,Y,,59,0,0,0,0,,,0,0,,,,,,,0,,
2014-11-29,Sat,Bundesliga,Matchweek 13,Home,W 5–1,Leverkusen,Köln,Y,,90,0,1,0,0,4,1,0,0,2,2,0,0,1,1,0,,
2014-12-06,Sat,Bundesliga,Matchweek 14,Away,L 0–1,Leverkusen,Bayern Munich,Y,,62,0,0,0,0,0,0,1,0,3,0,1,0,2,0,0,,
2014-12-09,Tue,Champions Lg,Group stage,Away,D 0–0,Leverkusen,Benfica,N,,19,0,0,0,0,,,0,0,,,,,,,0,,
2014-12-14,Sun,Bundesliga,Matchweek 15,Home,D 1–1,Leverkusen,M'Gladbach,Y,,57,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
2014-12-17,Wed,Bundesliga,Matchweek 16,Away,W 1–0,Leverkusen,Hoffenheim,Y,,90,0,0,0,0,4,2,0,0,1,0,0,2,2,2,0,,
