Date,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
2015-09-13,Matchweek 5,Away,W 1–0,Tottenham,Sunderland,Y,AM,62,0,0,0,0,2,0,0,0,1,1,0,5,1,1,0,,
2015-09-20,Matchweek 6,Home,W 1–0,Tottenham,Crystal Palace,Y,AM,79,1,0,0,0,5,2,0,0,1,1,1,0,3,1,0,,
2015-09-26,Matchweek 7,Home,W 4–1,Tottenham,Manchester City,Y,AM,77,0,0,0,0,2,2,0,0,0,1,3,1,2,2,0,,
2015-11-08,Matchweek 12,Away,D 1–1,Tottenham,Arsenal,N,,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
2015-11-22,Matchweek 13,Home,W 4–1,Tottenham,West Ham,Y,AM,85,0,1,0,0,3,2,0,0,0,0,1,0,4,1,0,,
2015-11-29,Matchweek 14,Home,D 0–0,Tottenham,Chelsea,Y,AM,75,0,0,0,0,4,2,0,0,1,2,1,1,0,1,0,,
2015-12-05,Matchweek 15,Away,D 1–1,Tottenham,West Brom,N,,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2015-12-13,Matchweek 16,Home,L 1–2,Tottenham,Newcastle Utd,N,,21,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,,
2015-12-19,Matchweek 17,Away,W 2–0,Tottenham,Southampton,N,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2015-12-26,Matchweek 18,Home,W 3–0,Tottenham,Norwich City,N,,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
2015-12-28,Matchweek 19,Away,W 2–1,Tottenham,Watford,N,,22,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,
2016-01-03,Matchweek 20,Away,D 1–1,Tottenham,Everton,N,,21,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,,
2016-01-13,Matchweek 21,Home,L 0–1,Tottenham,Leicester City,N,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2016-01-16,Matchweek 22,Home,W 4–1,Tottenham,Sunderland,N,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2016-01-23,Matchweek 23,Away,W 3–1,Tottenham,Crystal Palace,Y,AM,90,0,0,0,0,2,0,0,0,2,2,0,0,1,1,0,,
2016-02-02,Matchweek 24,Away,W 3–0,Tottenham,Norwich City,Y,AM,70,0,0,0,0,2,0,0,0,1,0,0,0,3,0,0,,
2016-02-06,Matchweek 25,Home,W 1–0,Tottenham,Watford,N,,18,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,,
2016-02-14,Matchweek 26,Away,W 2–1,Tottenham,Manchester City,Y,AM,72,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,,
2016-02-28,Matchweek 27,Home,W 2–1,Tottenham,Swansea City,Y,AM,75,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,,
2016-03-02,Matchweek 28,Away,L 0–1,Tottenham,West Ham,N,,20,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,,
2016-03-05,Matchweek 29,Home,D 2–2,Tottenham,Arsenal,N,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2016-03-13,Matchweek 30,Away,W 2–0,Tottenham,Aston Villa,N,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m
2016-03-20,Matchweek 31,Home,W 3–0,Tottenham,Bournemouth,N,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m
2016-04-02,Matchweek 32,Away,D 1–1,Tottenham,Liverpool,Y,CM,66,0,0,0,0,3,0,0,0,2,0,1,3,0,1,0,,
2016-04-10,Matchweek 33,Home,W 3–0,Tottenham,Manchester Utd,N,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2016-04-18,Matchweek 34,Away,W 4–0,Tottenham,Stoke City,N,,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,
2016-04-25,Matchweek 35,Home,D 1–1,Tottenham,West Brom,N,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2016-05-02,Matchweek 36,Away,D 2–2,Tottenham,Chelsea,Y,AM,65,1,0,0,0,5,1,0,0,1,0,0,0,2,2,0,,
2016-05-08,Matchweek 37,Home,L 1–2,Tottenham,Southampton,Y,AM,65,1,0,0,0,1,1,0,0,0,1,0,2,0,1,0,,
2016-05-15,Matchweek 38,Away,L 1–5,Tottenham,Newcastle Utd,Y,FW,45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
