Date,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
2016-08-27,Premier League,Matchweek 3,Home,D 1–1,Tottenham,Liverpool,N,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m
2016-09-10,Premier League,Matchweek 4,Away,W 4–0,Tottenham,Stoke City,Y,AM,90,2,1,0,0,3,2,0,0,0,2,0,2,0,0,0,0,0
2016-09-14,Champions Lg,Group stage,Home,L 1–2,Tottenham,Monaco,Y,AM,45,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0
2016-09-18,Premier League,Matchweek 5,Home,W 1–0,Tottenham,Sunderland,Y,AM,90,0,0,0,0,7,2,0,0,0,3,0,15,0,0,0,0,0
2016-09-21,EFL Cup,Third round,Home,W 5–0,Tottenham,Gillingham,N,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m
2016-09-24,Premier League,Matchweek 6,Away,W 2–1,Tottenham,Middlesbrough,Y,FW,90,2,0,0,0,4,2,0,0,2,2,1,9,1,1,0,0,0
2016-09-27,Champions Lg,Group stage,Away,W 1–0,Tottenham,CSKA Moscow,Y,AM,90,1,0,0,0,7,1,0,0,0,1,1,5,1,0,0,0,0
2016-10-02,Premier League,Matchweek 7,Home,W 2–0,Tottenham,Manchester City,Y,FW,90,0,1,0,0,4,1,0,0,0,0,5,3,0,0,0,0,0
2016-10-15,Premier League,Matchweek 8,Away,D 1–1,Tottenham,West Brom,N,,18,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0
2016-10-18,Champions Lg,Group stage,Away,D 0–0,Tottenham,Leverkusen,Y,AM,90,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0
2016-10-22,Premier League,Matchweek 9,Away,D 0–0,Tottenham,Bournemouth,Y,FW,62,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0
2016-10-29,Premier League,Matchweek 10,Home,D 1–1,Tottenham,Leicester City,Y,AM,90,0,0,0,0,2,1,1,0,1,1,2,3,1,1,0,0,0
2016-11-02,Champions Lg,Group stage,Home,L 0–1,Tottenham,Leverkusen,Y,FW,73,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2016-11-06,Premier League,Matchweek 11,Away,D 1–1,Tottenham,Arsenal,Y,AM,89,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2016-11-19,Premier League,Matchweek 12,Home,W 3–2,Tottenham,West Ham,N,,18,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0
2016-11-22,Champions Lg,Group stage,Away,L 1–2,Tottenham,Monaco,Y,DM,65,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0
2016-11-26,Premier League,Matchweek 13,Away,L 1–2,Tottenham,Chelsea,Y,AM,65,0,0,0,0,1,0,0,0,2,2,1,0,0,0,0,0,0
2016-12-03,Premier League,Matchweek 14,Home,W 5–0,Tottenham,Swansea City,Y,AM,72,1,1,0,0,3,1,0,0,1,1,1,2,0,0,0,0,0
2016-12-07,Champions Lg,Group stage,Home,W 3–1,Tottenham,CSKA Moscow,Y,AM,61,0,0,0,0,4,1,0,0,0,0,1,2,0,0,0,0,0
2016-12-11,Premier League,Matchweek 15,Away,L 0–1,Tottenham,Manchester Utd,Y,AM,57,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
2016-12-14,Premier League,Matchweek 16,Home,W 3–0,Tottenham,Hull City,N,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-18,Premier League,Matchweek 17,Home,W 2–1,Tottenham,Burnley,N,,17,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
2016-12-28,Premier League,Matchweek 18,Away,W 4–1,Tottenham,Southampton,N,,16,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2017-01-01,Premier League,Matchweek 19,Away,W 4–1,Tottenham,Watford,Y,FW,90,0,0,0,0,5,1,0,0,0,2,1,1,1,0,0,0,0
2017-01-04,Premier League,Matchweek 20,Home,W 2–0,Tottenham,Chelsea,N,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-08,FA Cup,Third round,Home,W 2–0,Tottenham,Aston Villa,Y,,90,1,0,0,0,,,0,0,,,,,,,0,,
2017-01-14,Premier League,Matchweek 21,Home,W 4–0,Tottenham,West Brom,N,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-21,Premier League,Matchweek 22,Away,D 2–2,Tottenham,Manchester City,N,,45,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
2017-01-28,FA Cup,Fourth round,Home,W 4–3,Tottenham,Wycombe,Y,,90,2,0,0,0,,,0,0,,,,,,,0,,
2017-01-31,Premier League,Matchweek 23,Away,D 0–0,Tottenham,Sunderland,Y,AM,73,0,0,0,0,1,0,0,0,1,1,2,4,0,0,0,0,0
2017-02-04,Premier League,Matchweek 24,Home,W 1–0,Tottenham,Middlesbrough,Y,AM,81,0,0,0,0,3,1,0,0,0,3,1,6,1,0,0,1,0
2017-02-11,Premier League,Matchweek 25,Away,L 0–2,Tottenham,Liverpool,Y,AM,82,0,0,0,0,2,2,1,0,0,1,0,1,1,1,0,0,0
2017-02-16,Europa Lg,Round of 32,Away,L 0–1,Tottenham,Gent,N,,22,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2017-02-19,FA Cup,Fifth round,Away,W 3–0,Tottenham,Fulham,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,
2017-02-23,Europa Lg,Round of 32,Home,D 2–2,Tottenham,Gent,N,,32,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0
2017-02-26,Premier League,Matchweek 26,Home,W 4–0,Tottenham,Stoke City,N,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-05,Premier League,Matchweek 27,Home,W 3–2,Tottenham,Everton,N,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m
2017-03-12,FA Cup,Quarter-finals,Home,W 6–0,Tottenham,Millwall,Y,,90,3,1,0,0,,,0,0,,,,,,,0,,
2017-03-19,Premier League,Matchweek 29,Home,W 2–1,Tottenham,Southampton,Y,FW,75,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0
2017-04-01,Premier League,Matchweek 30,Away,W 2–0,Tottenham,Burnley,N,,17,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
2017-04-05,Premier League,Matchweek 31,Away,W 3–1,Tottenham,Swansea City,Y,FW,90,1,0,0,0,5,2,0,0,0,0,2,1,0,0,0,0,0
2017-04-08,Premier League,Matchweek 32,Home,W 4–0,Tottenham,Watford,Y,AM,88,2,1,0,0,6,2,0,0,1,2,0,2,1,0,0,0,0
2017-04-15,Premier League,Matchweek 33,Home,W 4–0,Tottenham,Bournemouth,Y,AM,90,1,0,0,0,5,3,0,0,0,0,1,3,0,0,0,0,0
2017-04-22,FA Cup,Semi-finals,Away,L 2–4,Tottenham,Chelsea,Y,,67,0,0,0,0,,,0,0,,,,,,,0,,
2017-04-26,Premier League,Matchweek 28,Away,W 1–0,Tottenham,Crystal Palace,N,,45,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2017-04-30,Premier League,Matchweek 35,Home,W 2–0,Tottenham,Arsenal,Y,AM,79,0,0,0,0,3,0,0,0,0,1,1,0,3,0,0,0,0
2017-05-05,Premier League,Matchweek 36,Away,L 0–1,Tottenham,West Ham,Y,AM,90,0,0,0,0,1,1,0,0,0,1,0,1,3,1,0,0,0
2017-05-14,Premier League,Matchweek 37,Home,W 2–1,Tottenham,Manchester Utd,Y,AM,72,0,0,0,0,4,2,0,0,0,2,0,0,0,1,0,0,0
2017-05-18,Premier League,Matchweek 34,Away,W 6–1,Tottenham,Leicester City,Y,AM,78,2,1,0,0,5,2,0,0,0,1,1,1,0,1,0,0,0
2017-05-21,Premier League,Matchweek 38,Away,W 7–1,Tottenham,Hull City,Y,AM,90,0,1,0,0,2,2,0,0,0,1,0,2,1,1,0,0,0
