Date,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist,Succ,Att
2017-08-13,Matchweek 1,Away,W 2–0,Tottenham,Newcastle Utd,N,RW,32,0,0,0,0,0,0,0,0,27,7,0,0,0,0.0,0.0,0.0,2,0,23,25,92.0,98,16,47,0,1
2017-08-20,Matchweek 2,Home,L 1–2,Tottenham,Chelsea,N,AM,22,0,0,0,0,0,0,0,0,16,5,2,0,0,0.0,0.0,0.0,0,0,10,13,76.9,6,9,2,0,1
2017-08-27,Matchweek 3,Home,D 1–1,Tottenham,Burnley,Y,RW,70,0,0,0,0,1,0,0,0,44,11,0,0,1,0.0,0.0,0.2,3,0,30,36,83.3,93,32,94,0,2
2017-09-09,Matchweek 4,Away,W 3–0,Tottenham,Everton,N,FW,5,0,0,0,0,0,0,0,0,5,3,0,0,0,0.0,0.0,0.0,1,0,4,4,100.0,7,4,9,0,0
2017-09-16,Matchweek 5,Home,D 0–0,Tottenham,Swansea City,Y,WB,74,0,0,0,0,6,3,0,0,58,5,2,0,1,0.5,0.5,0.2,8,0,38,42,90.5,93,42,83,0,3
2017-09-23,Matchweek 6,Away,W 3–2,Tottenham,West Ham,N,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m
2017-09-30,Matchweek 7,Away,W 4–0,Tottenham,Huddersfield,N,FW,3,0,0,0,0,0,0,0,0,1,4,0,0,0,0.0,0.0,0.0,1,1,1,1,100.0,19,1,17,0,0
2017-10-14,Matchweek 8,Home,W 1–0,Tottenham,Bournemouth,Y,AM,75,0,0,0,0,1,0,0,0,40,17,3,0,1,0.0,0.0,0.1,2,1,24,26,92.3,47,30,80,2,3
2017-10-22,Matchweek 9,Home,W 4–1,Tottenham,Liverpool,Y,FW,69,1,0,0,0,3,2,0,0,21,23,0,0,2,0.7,0.7,0.0,0,0,11,15,73.3,45,13,118,0,1
2017-10-28,Matchweek 10,Away,L 0–1,Tottenham,Manchester Utd,Y,FW,62,0,0,0,0,1,0,0,0,27,7,1,0,1,0.0,0.0,0.0,3,0,16,19,84.2,17,22,93,0,0
2017-11-05,Matchweek 11,Home,W 1–0,Tottenham,Crystal Palace,Y,FW,90,1,0,0,0,2,1,0,0,42,18,2,0,1,0.3,0.3,0.0,1,0,20,27,74.1,55,32,169,2,3
2017-11-18,Matchweek 12,Away,L 0–2,Tottenham,Arsenal,N,FW,15,0,0,0,0,2,0,0,0,9,3,0,0,0,0.3,0.3,0.0,0,0,4,6,66.7,0,8,20,0,0
2017-11-25,Matchweek 13,Home,D 1–1,Tottenham,West Brom,Y,FW,90,0,0,0,0,4,1,0,0,77,13,0,0,0,0.1,0.1,0.1,4,0,49,62,79.0,101,79,319,5,6
2017-11-28,Matchweek 14,Away,L 1–2,Tottenham,Leicester City,N,AMDM,33,0,0,0,0,0,0,0,0,23,7,0,0,0,0.0,0.0,0.1,2,1,18,22,81.8,85,26,66,3,4
2017-12-02,Matchweek 15,Away,D 1–1,Tottenham,Watford,Y,LW,77,1,0,0,0,1,1,0,0,24,15,0,0,0,0.8,0.8,0.0,0,0,11,16,68.8,28,19,43,1,3
2017-12-09,Matchweek 16,Home,W 5–1,Tottenham,Stoke City,Y,LW,86,1,1,0,0,4,3,0,0,51,14,0,1,0,0.3,0.3,1.4,8,1,29,38,76.3,131,47,450,2,2
2017-12-13,Matchweek 17,Home,W 2–0,Tottenham,Brighton,Y,LWRW,90,1,0,0,0,4,1,0,0,53,22,0,1,1,0.7,0.7,0.1,2,0,36,41,87.8,127,46,106,1,1
2017-12-16,Matchweek 18,Away,L 1–4,Tottenham,Manchester City,Y,FW,77,0,0,0,0,1,0,0,0,25,13,1,0,1,0.0,0.0,0.0,1,0,14,17,82.4,34,18,62,1,1
2017-12-23,Matchweek 19,Away,W 3–0,Tottenham,Burnley,Y,LW,78,0,0,0,0,3,1,0,0,43,13,1,0,1,0.5,0.5,0.2,2,0,24,32,75.0,82,29,175,2,2
