Date,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,SonTeamResult,Points_Won,SonTeamScore,OpponentTeamScore,Home_1_Away_0
2018-08-11,1,Away,W 2–1,Tottenham,Newcastle Utd,0,FW,11,0,0,0,0,0,0,0,0,9,7,3,0,0,0.0,0.0,0.0,0,0,5,6,83.3,7,6,34,0,0,W,3,2,1,0
2018-09-15,5,Home,L 1–2,Tottenham,Liverpool,0,RWDM,18,0,0,0,0,0,0,0,0,10,1,0,0,0,0.0,0.0,0.1,2,0,9,9,100.0,56,10,23,1,1,L,0,1,2,1
2018-09-22,6,Away,W 2–1,Tottenham,Brighton,0,LMRM,67,0,0,0,0,3,0,0,0,41,14,2,0,1,0.2,0.2,0.0,1,0,22,26,84.6,51,34,19,1,3,W,3,2,1,0
2018-09-29,7,Away,W 2–0,Tottenham,Huddersfield,0,LW,89,0,0,0,0,2,1,0,0,49,17,2,0,3,0.1,0.1,0.3,2,0,22,28,78.6,121,37,139,2,2,W,3,2,0,0
2018-10-06,8,Home,W 1–0,Tottenham,Cardiff City,0,LM,71,0,0,0,0,2,0,0,0,40,11,0,0,1,0.2,0.2,0.1,3,0,25,32,78.1,80,39,189,2,2,W,3,1,0,1
2018-10-20,9,Away,W 1–0,Tottenham,West Ham,0,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,W,3,1,0,0
2018-10-29,10,Home,L 0–1,Tottenham,Manchester City,0,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,L,0,0,1,1
2018-11-03,11,Away,W 3–2,Tottenham,Wolves,0,LW,52,0,1,0,0,0,0,0,0,38,11,1,1,2,0.0,0.0,0.2,4,2,24,30,80.0,55,35,117,2,3,W,3,3,2,0
2018-11-10,12,Away,W 1–0,Tottenham,Crystal Palace,0,LWLM,20,0,0,0,0,1,0,0,0,13,6,1,0,1,0.2,0.2,0.0,1,0,7,7,100.0,14,9,31,3,3,W,3,1,0,0
2018-11-24,13,Home,W 3–1,Tottenham,Chelsea,0,FWRW,77,1,0,0,0,6,3,0,0,35,26,0,1,0,0.9,0.9,0.1,7,2,20,25,80.0,80,32,227,3,4,W,3,3,1,1
2018-12-02,14,Away,L 2–4,Tottenham,Arsenal,0,FW,78,0,0,0,0,3,3,0,0,34,23,3,0,1,0.1,0.1,0.0,3,2,16,19,84.2,62,22,172,2,3,L,0,2,4,0
2018-12-05,15,Home,W 3–1,Tottenham,Southampton,0,RW,90,1,0,0,0,4,2,0,0,44,24,0,0,0,0.7,0.7,0.1,2,0,25,31,80.6,35,35,203,1,4,W,3,3,1,1
2018-12-08,16,Away,W 2–0,Tottenham,Leicester City,0,LW,73,1,1,0,0,4,1,0,0,45,26,1,0,1,0.1,0.1,0.4,3,1,26,35,74.3,167,34,58,1,1,W,3,2,0,0
2018-12-15,17,Home,W 1–0,Tottenham,Burnley,0,RWLWDM,16,0,0,0,0,1,0,0,0,7,2,0,0,0,0.2,0.2,0.0,0,0,2,4,50.0,0,8,20,1,3,W,3,1,0,1
2018-12-23,18,Away,W 6–2,Tottenham,Everton,0,FW,78,2,1,0,0,4,3,0,0,43,32,0,0,0,1.3,1.3,0.4,6,2,27,33,81.8,108,37,126,1,1,W,3,6,2,0
2018-12-26,19,Home,W 5–0,Tottenham,Bournemouth,0,LWFW,87,2,0,0,0,2,2,1,0,39,21,0,2,0,0.9,0.9,0.0,3,1,19,28,67.9,24,38,174,2,3,W,3,5,0,1
2018-12-29,20,Home,L 1–3,Tottenham,Wolves,0,FWRWLW,90,0,1,0,0,4,0,0,0,45,20,2,0,0,0.1,0.1,0.1,4,1,27,31,87.1,93,35,261,0,2,L,0,1,3,1
2019-01-01,21,Away,W 3–0,Tottenham,Cardiff City,0,FW,75,1,1,0,0,3,2,0,0,55,11,0,0,1,0.6,0.6,0.0,2,1,46,49,93.9,129,46,128,0,0,W,3,3,0,0
2019-01-13,22,Home,L 0–1,Tottenham,Manchester Utd,0,LMFW,90,0,0,0,0,2,1,0,0,41,18,0,0,1,0.1,0.1,0.3,5,0,31,35,88.6,74,40,211,2,3,L,0,0,1,1
