Date,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist,Succ,Att
2018-09-18,Group stage,Away,L 1–2,Tottenham,Inter,Y,LW,63,0,0,0,0,1,1,0,0,34,22,0,1,4,0.0,0.0,0.0,2,0,17,22,77.3,109,29,96,2,3
2018-10-03,Group stage,Home,L 2–4,Tottenham,Barcelona,Y,LW,65,0,1,0,0,0,0,0,0,21,31,3,0,0,0.0,0.0,0.1,2,1,10,13,76.9,39,16,53,0,1
2018-10-24,Group stage,Away,D 2–2,Tottenham,PSV Eindhoven,Y,AM,80,0,0,0,0,5,3,0,0,52,15,1,0,3,0.4,0.4,0.0,4,1,31,38,81.6,97,50,291,2,4
2018-11-06,Group stage,Home,W 2–1,Tottenham,PSV Eindhoven,Y,LW,74,0,0,0,0,2,0,1,0,55,11,1,0,1,0.1,0.1,0.0,2,0,35,42,83.3,76,44,182,0,1
2018-11-28,Group stage,Home,W 1–0,Tottenham,Inter,N,RWLW,29,0,0,0,0,0,0,1,0,15,14,0,0,2,0.0,0.0,0.0,0,0,7,8,87.5,11,13,57,1,3
2018-12-11,Group stage,Away,D 1–1,Tottenham,Barcelona,Y,RW,70,0,0,0,0,3,3,0,0,41,17,1,1,0,0.8,0.8,0.0,3,0,24,32,75.0,35,37,91,3,3
2019-02-13,Round of 16,Home,W 3–0,Tottenham,Dortmund,Y,FW,89,1,0,0,0,3,2,0,0,30,21,1,0,0,0.5,0.5,0.0,4,0,18,21,85.7,61,28,38,0,2
2019-03-05,Round of 16,Away,W 1–0,Tottenham,Dortmund,Y,FW,70,0,0,0,0,2,0,0,0,38,56,3,2,3,0.4,0.4,0.0,1,0,24,25,96.0,87,30,150,1,1
2019-04-09,Quarter-finals,Home,W 1–0,Tottenham,Manchester City,Y,LWRW,90,1,0,0,0,4,2,0,0,30,26,2,1,1,0.2,0.2,0.0,2,1,16,18,88.9,83,26,109,1,2
2019-04-17,Quarter-finals,Away,L 3–4,Tottenham,Manchester City,Y,LWFWRM,90,2,0,0,0,5,3,1,0,35,23,3,0,3,0.6,0.6,0.1,2,1,15,20,75.0,38,28,168,0,0
2019-05-08,Semi-finals,Away,W 3–2,Tottenham,Ajax,Y,LW,90,0,0,0,0,6,1,0,0,47,20,0,1,0,0.3,0.3,0.0,9,0,26,29,89.7,60,52,235,10,13
2019-06-01,Final,Home,L 0–2,Tottenham,Liverpool,Y,LWFWLM,90,0,0,0,0,3,3,0,0,48,10,1,0,2,0.1,0.1,0.1,4,0,18,26,69.2,38,29,229,1,4
