Date,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist,Succ,Att
2018-08-11,Premier League,Matchweek 1,Away,W 2–1,Tottenham,Newcastle Utd,N,FW,11,0,0,0,0,0,0,0,0,9,7,3,0,0,0.0,0.0,0.0,0,0,5,6,83.3,7,6,34,0,0
2018-09-15,Premier League,Matchweek 5,Home,L 1–2,Tottenham,Liverpool,N,RWDM,18,0,0,0,0,0,0,0,0,10,1,0,0,0,0.0,0.0,0.1,2,0,9,9,100.0,56,10,23,1,1
2018-09-18,Champions Lg,Group stage,Away,L 1–2,Tottenham,Inter,Y,LW,63,0,0,0,0,1,1,0,0,34,22,0,1,4,0.0,0.0,0.0,2,0,17,22,77.3,109,29,96,2,3
2018-09-22,Premier League,Matchweek 6,Away,W 2–1,Tottenham,Brighton,Y,LMRM,67,0,0,0,0,3,0,0,0,41,14,2,0,1,0.2,0.2,0.0,1,0,22,26,84.6,51,34,19,1,3
2018-09-26,EFL Cup,Third round,Home,W 2 (4)–2 (2),Tottenham,Watford,N,,57,0,0,0,0,2,1,0,0,,,,0,,,,,,,,,,,,,,
2018-09-29,Premier League,Matchweek 7,Away,W 2–0,Tottenham,Huddersfield,Y,LW,89,0,0,0,0,2,1,0,0,49,17,2,0,3,0.1,0.1,0.3,2,0,22,28,78.6,121,37,139,2,2
2018-10-03,Champions Lg,Group stage,Home,L 2–4,Tottenham,Barcelona,Y,LW,65,0,1,0,0,0,0,0,0,21,31,3,0,0,0.0,0.0,0.1,2,1,10,13,76.9,39,16,53,0,1
2018-10-06,Premier League,Matchweek 8,Home,W 1–0,Tottenham,Cardiff City,Y,LM,71,0,0,0,0,2,0,0,0,40,11,0,0,1,0.2,0.2,0.1,3,0,25,32,78.1,80,39,189,2,2
2018-10-20,Premier League,Matchweek 9,Away,W 1–0,Tottenham,West Ham,N,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m
2018-10-24,Champions Lg,Group stage,Away,D 2–2,Tottenham,PSV Eindhoven,Y,AM,80,0,0,0,0,5,3,0,0,52,15,1,0,3,0.4,0.4,0.0,4,1,31,38,81.6,97,50,291,2,4
2018-10-29,Premier League,Matchweek 10,Home,L 0–1,Tottenham,Manchester City,N,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m
2018-10-31,EFL Cup,Fourth round,Away,W 3–1,Tottenham,West Ham,Y,AM,90,2,0,0,0,3,3,0,0,,,,0,,,,,,,,,,,,,,
2018-11-03,Premier League,Matchweek 11,Away,W 3–2,Tottenham,Wolves,N,LW,52,0,1,0,0,0,0,0,0,38,11,1,1,2,0.0,0.0,0.2,4,2,24,30,80.0,55,35,117,2,3
2018-11-06,Champions Lg,Group stage,Home,W 2–1,Tottenham,PSV Eindhoven,Y,LW,74,0,0,0,0,2,0,1,0,55,11,1,0,1,0.1,0.1,0.0,2,0,35,42,83.3,76,44,182,0,1
2018-11-10,Premier League,Matchweek 12,Away,W 1–0,Tottenham,Crystal Palace,N,LWLM,20,0,0,0,0,1,0,0,0,13,6,1,0,1,0.2,0.2,0.0,1,0,7,7,100.0,14,9,31,3,3
2018-11-24,Premier League,Matchweek 13,Home,W 3–1,Tottenham,Chelsea,Y,FWRW,77,1,0,0,0,6,3,0,0,35,26,0,1,0,0.9,0.9,0.1,7,2,20,25,80.0,80,32,227,3,4
2018-11-28,Champions Lg,Group stage,Home,W 1–0,Tottenham,Inter,N,RWLW,29,0,0,0,0,0,0,1,0,15,14,0,0,2,0.0,0.0,0.0,0,0,7,8,87.5,11,13,57,1,3
