Date,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist,Succ,Att
2019-08-25,Premier League,Matchweek 3,Home,L 0–1,Tottenham,Newcastle Utd,Y,LW,90,0,0,0,0,6,2,0,0,74,11,0,0,1,0.2,0.2,0.0,6,0,53,59,89.8,84,62,173,5,9
2019-09-01,Premier League,Matchweek 4,Away,D 2–2,Tottenham,Arsenal,Y,LWRW,78,0,0,0,0,2,2,0,0,45,23,1,1,0,0.2,0.2,0.2,5,1,21,28,75.0,96,34,191,2,4
2019-09-14,Premier League,Matchweek 5,Home,W 4–0,Tottenham,Crystal Palace,Y,FW,90,2,0,0,0,6,3,0,0,42,22,3,0,0,0.5,0.5,0.0,4,2,25,30,83.3,72,28,103,0,0
2019-09-18,Champions Lg,Group stage,Away,D 2–2,Tottenham,Olympiacos,N,LW,18,0,0,0,0,0,0,0,0,8,5,0,0,0,0.0,0.0,0.0,0,0,5,8,62.5,4,7,33,1,1
2019-09-21,Premier League,Matchweek 6,Away,L 1–2,Tottenham,Leicester City,Y,FW,90,0,1,0,0,3,1,0,0,45,17,0,0,1,0.3,0.3,0.7,5,1,28,31,90.3,93,37,113,3,7
2019-09-24,EFL Cup,Third round,Away,L 0 (3)–0 (4),Tottenham,Colchester Utd,N,,55,0,0,0,0,1,0,0,0,,,,0,,,,,,,,,,,,,,
2019-09-28,Premier League,Matchweek 7,Home,W 2–1,Tottenham,Southampton,Y,FW,63,0,1,0,0,1,1,0,0,34,16,3,0,1,0.0,0.0,0.3,6,2,14,20,70.0,48,36,186,6,14
2019-10-01,Champions Lg,Group stage,Home,L 2–7,Tottenham,Bayern Munich,Y,FWRWLM,90,1,0,0,0,5,3,0,0,35,32,1,0,0,0.7,0.7,0.1,4,0,18,25,72.0,47,25,175,3,5
2019-10-05,Premier League,Matchweek 8,Away,L 0–3,Tottenham,Brighton,Y,LWAMRW,72,0,0,0,0,0,0,0,0,29,27,2,1,0,0.0,0.0,0.0,1,0,15,20,75.0,32,26,83,2,5
2019-10-19,Premier League,Matchweek 9,Home,D 1–1,Tottenham,Watford,N,RW,45,0,0,0,0,1,1,0,0,34,7,0,0,0,0.1,0.1,0.0,1,0,22,25,88.0,74,29,158,1,3
2019-10-22,Champions Lg,Group stage,Home,W 5–0,Tottenham,Red Star,Y,LW,67,2,0,0,0,4,3,0,0,51,20,3,0,1,0.5,0.5,0.6,6,0,32,39,82.1,189,42,303,6,7
2019-10-27,Premier League,Matchweek 10,Away,L 1–2,Tottenham,Liverpool,Y,LW,90,0,0,0,0,5,1,0,0,40,28,4,1,0,0.5,0.5,0.0,3,1,17,21,81.0,67,30,151,2,4
