Date,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,Prog,Carries,Prog.1,Succ,Att.1,SonTeamResult,Points_Won,SonTeamScore,OpponentTeamScore,Home_1_Away_0
2020-09-13,1,Home,L 0–1,Tottenham,Everton,1,LWAM,90,0,0,0,0,2,1,0,0,40,38,1,0,0,0.1,0.1,0.3,4,0,21,31,67.7,1,22,6,0,0,L,0,0,1,1
2020-09-20,2,Away,W 5–2,Tottenham,Southampton,1,LW,90,4,0,0,0,4,4,0,0,38,19,1,0,1,1.3,1.3,0.2,3,1,19,28,67.9,0,24,6,1,1,W,3,5,2,0
2020-09-27,3,Home,D 1–1,Tottenham,Newcastle Utd,1,LW,45,0,0,0,0,2,0,0,0,23,9,0,0,0,0.1,0.1,0.3,4,1,16,20,80.0,1,17,5,1,1,D,1,1,1,1
2020-10-04,4,Away,W 6–1,Tottenham,Manchester Utd,1,LW,72,2,1,0,0,2,2,0,0,42,10,0,0,1,0.5,0.5,0.8,6,1,34,35,97.1,3,25,5,1,1,W,3,6,1,0
2020-10-18,5,Home,D 3–3,Tottenham,West Ham,1,LW,79,1,1,0,0,2,2,0,0,45,13,0,0,2,0.5,0.5,0.1,6,2,27,36,75.0,6,32,4,3,3,D,1,3,3,1
2020-10-26,6,Away,W 1–0,Tottenham,Burnley,1,LW,89,1,0,0,0,2,1,0,0,54,15,1,0,0,0.4,0.4,0.0,3,0,36,45,80.0,3,32,6,0,1,W,3,1,0,0
2020-11-01,7,Home,W 2–1,Tottenham,Brighton,1,LW,84,0,0,0,0,1,0,0,0,32,18,2,1,2,0.0,0.0,0.0,2,0,11,21,52.4,1,21,3,1,1,W,3,2,1,1
2020-11-08,8,Away,W 1–0,Tottenham,West Brom,1,LWLM,90,0,0,0,0,3,1,0,0,53,16,1,0,3,0.5,0.5,0.0,2,0,33,39,84.6,3,40,8,0,0,W,3,1,0,0
2020-11-21,9,Home,W 2–0,Tottenham,Manchester City,1,RW,90,1,0,0,0,2,1,0,0,34,24,0,0,2,0.4,0.4,0.0,0,0,17,24,70.8,1,24,1,1,2,W,3,2,0,1
2020-11-29,10,Away,D 0–0,Tottenham,Chelsea,1,RW,89,0,0,0,0,0,0,0,0,42,19,0,0,2,0.0,0.0,0.0,1,0,32,35,91.4,3,30,1,2,2,D,1,0,0,0
2020-12-06,11,Home,W 2–0,Tottenham,Arsenal,1,LWFW,87,1,1,0,0,1,1,0,0,36,20,1,0,0,0.0,0.0,0.4,4,1,14,23,60.9,1,21,4,1,2,W,3,2,0,1
2020-12-13,12,Away,D 1–1,Tottenham,Crystal Palace,1,LW,90,0,1,0,0,1,0,0,0,35,17,1,0,3,0.1,0.1,0.2,3,1,20,27,74.1,1,18,0,1,3,D,1,1,1,0
2020-12-16,13,Away,L 1–2,Tottenham,Liverpool,1,FW,86,1,0,0,0,1,1,0,0,29,17,0,0,0,0.4,0.4,0.5,2,0,17,23,73.9,3,22,0,1,1,L,0,1,2,0
2020-12-20,14,Home,L 0–2,Tottenham,Leicester City,1,LWAM,90,0,0,0,0,2,1,0,0,43,19,1,2,1,0.5,0.5,0.3,2,0,25,33,75.8,1,21,1,0,1,L,0,0,2,1
2020-12-27,15,Away,D 1–1,Tottenham,Wolves,1,FW,83,0,0,0,0,1,1,0,0,45,17,0,1,1,0.1,0.1,0.1,1,0,27,35,77.1,1,35,2,1,2,D,1,1,1,0
2021-01-02,17,Home,W 3–0,Tottenham,Leeds United,1,LWRW,90,1,1,0,0,2,1,0,0,47,21,3,4,1,0.2,0.2,0.5,5,1,27,32,84.4,3,32,2,1,2,W,3,3,0,1
2021-01-13,16,Home,D 1–1,Tottenham,Fulham,1,LW,90,0,0,0,0,4,2,0,0,41,21,0,3,1,0.9,0.9,0.0,1,0,25,33,75.8,2,27,2,4,4,D,1,1,1,1
2021-01-17,19,Away,W 3–1,Tottenham,Sheffield Utd,1,LW,89,0,1,0,0,2,0,0,0,37,13,0,0,4,0.4,0.4,0.4,3,1,15,28,53.6,1,18,7,0,1,W,3,3,1,0
2021-01-28,20,Home,L 1–3,Tottenham,Liverpool,1,LWFW,90,0,0,0,0,2,1,0,0,36,12,0,2,0,0.1,0.1,0.0,0,0,21,26,80.8,0,27,3,3,4,L,0,1,3,1
2021-01-31,21,Away,L 0–1,Tottenham,Brighton,1,LW,90,0,0,0,0,2,1,0,0,43,10,1,0,0,0.1,0.1,0.1,5,0,28,36,77.8,2,32,5,2,3,L,0,0,1,0
2021-02-04,22,Home,L 0–1,Tottenham,Chelsea,1,LW,90,0,0,0,0,2,1,0,0,40,11,1,1,0,0.1,0.1,0.1,3,0,24,30,80.0,2,28,4,0,1,L,0,0,1,1
2021-02-07,23,Home,W 2–0,Tottenham,West Brom,1,LW,89,1,0,0,0,3,3,0,0,49,10,0,0,2,0.3,0.3,0.0,2,0,28,37,75.7,0,39,10,2,2,W,3,2,0,1
2021-02-13,24,Away,L 0–3,Tottenham,Manchester City,1,LW,90,0,0,0,0,0,0,0,0,45,32,2,3,0,0.0,0.0,0.0,0,0,25,37,67.6,1,35,6,1,3,L,0,0,3,0
