Season,Age,Squad,90s,SCA,SCA90,PassLive,Drib,Sh,GCA,GCA90,PassLive,Drib,Sh
2010-2011,18,Hamburger SV,8.0,,,,,,,,,,
2011-2012,19,Hamburger SV,13.6,,,,,,,,,,
2012-2013,20,Hamburger SV,29.9,,,,,,,,,,
2013-2014,21,Leverkusen,32.0,,,,,,,,,,
2014-2015,22,Leverkusen,33.2,,,,,,,,,,
2015-2016,23,Tottenham,21.1,,,,,,,,,,
2016-2017,24,Tottenham,33.0,,,,,,,,,,
2017-2018,25,Tottenham,37.6,88,3.43,66,10,5,20,0.78,14,3,2
2018-2019,26,Tottenham,36.7,114,3.49,70,24,11,18,0.55,9,5,2
2019-2020,27,Tottenham,35.5,110,3.48,68,19,11,24,0.76,14,3,5
2020-2021,28,Tottenham,6.9,31,4.48,18,4,1,5,0.72,4,1,0
