Season,Age,Squad,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,PPM,onG,+/-,+/-90,On-Off,onxG
2010-2011,18,Hamburger SV,13,720,55,,8.0,8,,4,5,,,,,,,
2011-2012,19,Hamburger SV,27,1223,45,,13.6,11,,3,16,,,,,,,
2012-2013,20,Hamburger SV,33,2689,81,,29.9,31,,17,2,,,,,,,
2013-2014,21,Leverkusen,39,2876,74,,32.0,36,,8,3,,,,,,,
2014-2015,22,Leverkusen,40,2991,75,70.2,33.2,36,78,21,4,28,1.88,55,+24,+0.72,-0.13,
2015-2016,23,Tottenham,40,1896,47,39.7,21.1,22,80,4,18,23,1.82,37,+11,+0.52,-0.45,
2016-2017,24,Tottenham,47,2968,63,62.2,33.0,34,85,13,13,,2.08,79,+49,+1.49,+0.38,
2017-2018,25,Tottenham,53,3383,64,68.3,37.6,39,81,13,14,38,1.98,87,+58,+1.54,+1.43,46.8
2018-2019,26,Tottenham,48,3306,69,62.6,36.7,38,81,12,10,24,1.94,75,+37,+1.01,+0.96,52.6
2019-2020,27,Tottenham,41,3196,78,67.4,35.5,35,85,21,6,37,1.66,65,+20,+0.56,+0.80,44.9
2020-2021,28,Tottenham,9,623,69,76.9,6.9,7,78,2,2,37,2.06,18,+13,+1.88,+2.84,13.6
