Saison,Age,Equipe,MJ TTC,Titulaire,Remplacant,Minutes,Buts,Passes D
2010-2011,18,Hamburger SV,13,8,5,720,3,0
"2011-2012,19,Hamburger SV,27,11,16,""1,223"",5,0"
"2012-2013,20,Hamburger SV,33,31,2,""2,689"",12,2"
"2013-2014,21,Leverkusen,39,36,3,""2,876"",10,6"
"2014-2015,22,Leverkusen,40,36,4,""2,991"",15,3"
"2015-2016,23,Tottenham,40,22,18,""1,896"",8,6"
"2016-2017,24,Tottenham,47,34,13,""2,968"",21,7"
"2017-2018,25,Tottenham,53,39,14,""3,383"",18,11"
"2018-2019,26,Tottenham,48,38,10,""3,306"",20,9"
"2019-2020,27,Tottenham,41,35,6,""3,196"",18,12"
2020-2021,28,Tottenham,8,6,2,539,9,2
