Date,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SonTeamResult,SonTeamScore,OpponentTeamScore,Home_1_Away_0,Points_Won,Day,Touches,Press,Tkl,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,Prog,Prog.1,Elo,Elo_Opp,Elo_Diff
2010-10-30,Bundesliga,10,Away,L 2–3,Hamburger SV,Köln,1,,90,1,,0,,,,0,0,,,,,,,0,,,L,2.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1750,1598,152
2010-11-06,Bundesliga,11,Home,W 2–1,Hamburger SV,Hoffenheim,0,,16,0,,0,,,,0,0,,,,,,,0,,,W,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,1741,1716,25
2010-11-12,Bundesliga,12,Away,L 0–2,Hamburger SV,Dortmund,0,,25,0,,0,,,,0,0,,,,,,,0,,,L,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1747,1817,-70
2010-11-20,Bundesliga,13,Away,L 2–3,Hamburger SV,Hannover 96,1,,90,2,,0,,,,0,0,,,,,,,0,,,L,2.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1740,1644,96
2010-11-27,Bundesliga,14,Home,W 4–2,Hamburger SV,Stuttgart,1,,58,0,,0,,,,0,0,,,,,,,0,,,W,4.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,1731,1751,-20
2010-12-04,Bundesliga,15,Away,L 0–1,Hamburger SV,Freiburg,1,,90,0,,0,,,,0,0,,,,,,,0,,,L,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1738,1625,113
2010-12-11,Bundesliga,16,Home,L 2–4,Hamburger SV,Leverkusen,0,,14,0,,0,,,,0,0,,,,,,,0,,,L,2.0,4.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1738,1796,-58
2011-02-19,Bundesliga,23,Home,W 4–0,Hamburger SV,Werder Bremen,1,,83,0,,0,,,,1,0,,,,,,,0,,,W,4.0,0.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,1735,1719,16
2011-03-19,Bundesliga,27,Home,W 6–2,Hamburger SV,Köln,0,,30,0,,0,,,,0,0,,,,,,,0,,,W,6.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,1714,1657,57
2011-04-02,Bundesliga,28,Away,D 0–0,Hamburger SV,Hoffenheim,1,,63,0,,0,,,,0,0,,,,,,,0,,,D,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,1724,1692,32
2011-04-23,Bundesliga,31,Away,L 0–3,Hamburger SV,Stuttgart,0,,10,0,,0,,,,0,0,,,,,,,0,,,L,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1732,1714,18
2011-04-30,Bundesliga,32,Home,L 0–2,Hamburger SV,Freiburg,1,,90,0,,0,,,,0,0,,,,,,,0,,,L,0.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1718,1635,83
2011-05-07,Bundesliga,33,Away,D 1–1,Hamburger SV,Leverkusen,1,,60,0,,0,,,,0,0,,,,,,,0,,,D,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,1700,1802,-102
2011-08-13,Bundesliga,2,Home,D 2â€“2,Hamburger SV,Hertha BSC,1,,90,1,,0,,,,0,0,,,,,,,0,,,D,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1693,1676,17
2011-08-20,Bundesliga,3,Away,L 0â€“5,Hamburger SV,Bayern Munich,1,,87,0,,0,,,,0,0,,,,,,,0,,,L,0.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1689,1871,-182
2011-08-27,Bundesliga,4,Home,L 3â€“4,Hamburger SV,KÃ¶ln,1,,75,1,,0,,,,0,0,,,,,,,0,,,L,3.0,4.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1689,1636,53
2011-09-17,Bundesliga,6,Home,L 0â€“1,Hamburger SV,M'Gladbach,0,,34,0,,0,,,,0,0,,,,,,,0,,,L,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1669,1683,-14
2011-09-23,Bundesliga,7,Away,W 2â€“1,Hamburger SV,Stuttgart,1,,81,0,,0,,,,0,0,,,,,,,0,,,W,2.0,1.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,1660,1746,-86
2011-10-02,Bundesliga,8,Home,L 1â€“2,Hamburger SV,Schalke 04,0,,25,0,,0,,,,0,0,,,,,,,0,,,L,1.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1673,1751,-78
2011-10-16,Bundesliga,9,Away,W 2â€“1,Hamburger SV,Freiburg,1,,87,1,,0,,,,0,0,,,,,,,0,,,W,2.0,1.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,1665,1629,36
2011-11-05,Bundesliga,12,Away,D 2â€“2,Hamburger SV,Leverkusen,1,,89,0,,0,,,,0,0,,,,,,,0,,,D,2.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,1667,1776,-109
2011-11-20,Bundesliga,13,Home,W 2â€“0,Hamburger SV,Hoffenheim,0,,3,0,,0,,,,0,0,,,,,,,0,,,W,2.0,0.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,1672,1694,-22
2011-11-26,Bundesliga,14,Away,D 1â€“1,Hamburger SV,Hannover 96,1,,90,0,,0,,,,0,0,,,,,,,0,,,D,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,1684,1719,-35
2011-12-04,Bundesliga,15,Home,W 2â€“0,Hamburger SV,NÃ¼rnberg,1,,61,0,,0,,,,0,0,,,,,,,0,,,W,2.0,0.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,1683,1656,27
2011-12-17,Bundesliga,17,Home,D 1â€“1,Hamburger SV,Augsburg,0,,15,0,,0,,,,0,0,,,,,,,0,,,D,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1688,1603,85
2012-01-28,Bundesliga,19,Away,W 2â€“1,Hamburger SV,Hertha BSC,0,,1,0,,0,,,,0,0,,,,,,,0,,,W,2.0,1.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,1672,1675,-3
2012-02-04,Bundesliga,20,Home,D 1â€“1,Hamburger SV,Bayern Munich,0,,19,0,,0,,,,0,0,,,,,,,0,,,D,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1682,1885,-203
2012-02-12,Bundesliga,21,Away,W 1â€“0,Hamburger SV,KÃ¶ln,0,,1,0,,0,,,,0,0,,,,,,,0,,,W,1.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,1685,1651,34
