Date,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Touches,Press,Tkl,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1
2013-09-17,Group stage,Away,L 2–4,Leverkusen,Manchester Utd,Y,,64,0,,0,,,,1,0,,,,,,,0,,,,,,,,,,,,,,,,,,,
2013-10-02,Group stage,Home,W 2–1,Leverkusen,Real Sociedad,Y,,68,0,,0,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,
2013-10-23,Group stage,Home,W 4–0,Leverkusen,Shakhtar,Y,,71,0,,0,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,
2013-11-05,Group stage,Away,D 0–0,Leverkusen,Shakhtar,Y,,77,0,,0,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,
2013-11-27,Group stage,Home,L 0–5,Leverkusen,Manchester Utd,Y,,70,0,,0,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,
2013-12-10,Group stage,Away,W 1–0,Leverkusen,Real Sociedad,Y,,90,0,,0,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,
2014-02-18,Round of 16,Home,L 0–4,Leverkusen,Paris S-G,Y,,46,0,,0,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,
2014-03-12,Round of 16,Away,L 1–2,Leverkusen,Paris S-G,N,,23,0,,0,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,
2014-08-19,Play-off Round,Away,W 3–2,Leverkusen,dk FC Copenhagen,Y,,90,1,0.0,0,0.0,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,
2014-08-27,Play-off Round,Home,W 4–0,Leverkusen,FC Copenhagen,Y,,90,1,0.0,0,0.0,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,
2014-09-16,Group stage,Away,L 0–1,Leverkusen,Monaco,Y,,90,0,0.0,0,0.0,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,
2014-10-01,Group stage,Home,W 3–1,Leverkusen,Benfica,Y,,90,1,0.0,0,0.0,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,
2014-10-22,Group stage,Home,W 2–0,Leverkusen,Zenit,Y,,90,0,0.0,0,0.0,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,
2014-11-04,Group stage,Away,W 2–1,Leverkusen,Zenit,Y,,90,2,0.0,0,0.0,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,
2014-11-26,Group stage,Home,L 0–1,Leverkusen,Monaco,Y,,59,0,0.0,0,0.0,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,
2014-12-09,Group stage,Away,D 0–0,Leverkusen,Benfica,N,,19,0,0.0,0,0.0,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,
2015-02-25,Round of 16,Home,W 1–0,Leverkusen,Atlético Madrid,Y,,90,0,0.0,0,0.0,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,
2015-03-17,Round of 16,Away,L 0 (2)–1 (3),Leverkusen,Atlético Madrid,Y,,77,0,0.0,0,0.0,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,
2016-09-14,Group stage,Home,L 1–2,Tottenham,Monaco,Y,AM,45,0,0.0,0,0.0,2.0,1.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,,,,
2016-09-27,Group stage,Away,W 1–0,Tottenham,CSKA Moscow,Y,AM,90,1,0.0,0,0.0,7.0,1.0,0,0,0.0,1.0,1.0,5.0,1.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,,,,
2016-10-18,Group stage,Away,D 0–0,Tottenham,Leverkusen,Y,AM,90,0,0.0,0,0.0,1.0,0.0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,,,,,,,,,,,,,,,,,
2016-11-02,Group stage,Home,L 0–1,Tottenham,Leverkusen,Y,FW,73,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,,,,
2016-11-22,Group stage,Away,L 1–2,Tottenham,Monaco,Y,DM,65,0,0.0,0,0.0,0.0,0.0,0,0,1.0,0.0,1.0,4.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,,,,
2016-12-07,Group stage,Home,W 3–1,Tottenham,CSKA Moscow,Y,AM,61,0,0.0,0,0.0,4.0,1.0,0,0,0.0,0.0,1.0,2.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,,,,
2017-09-13,Group stage,Home,W 3–1,Tottenham,Dortmund,Y,LM,83,1,0,0,0,3,1,0,0,0,0,3,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
2017-09-26,Group stage,Away,W 3–0,Tottenham,APOEL FC,Y,FW,90,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,,,,,,,,,,,,,,,,,
2017-10-17,Group stage,Away,D 1–1,Tottenham,Real Madrid,N,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2017-11-01,Group stage,Home,W 3–1,Tottenham,Real Madrid,N,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,,,,,,,,,,,,,,,,,
2017-11-21,Group stage,Away,W 2–1,Tottenham,Dortmund,Y,FW,90,1,0,0,0,4,2,0,0,0,3,2,0,1,0,0,0,0,,,,,,,,,,,,,,,,,
2017-12-06,Group stage,Home,W 3–0,Tottenham,APOEL FC,Y,RW,65,1,0,0,0,5,3,0,0,0,2,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,
2018-02-13,Round of 16,Away,D 2–2,Tottenham,Juventus,N,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
2018-03-07,Round of 16,Home,L 1–2,Tottenham,Juventus,Y,AM,90,1,0,0,0,7,3,0,0,3,1,1,3,2,0,0,0,0,,,,,,,,,,,,,,,,,
2018-09-18,Group stage,Away,L 1–2,Tottenham,Inter,Y,LW,63,0,0,0,0,1,1,0,0,,,,,,1,,,,34.0,22.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,17.0,22.0,77.3,109.0,29.0,96.0,2.0,3.0
2018-10-03,Group stage,Home,L 2–4,Tottenham,Barcelona,Y,LW,65,0,1,0,0,0,0,0,0,,,,,,0,,,,21.0,31.0,3.0,0.0,0.0,0.0,0.1,2.0,1.0,10.0,13.0,76.9,39.0,16.0,53.0,0.0,1.0
2018-10-24,Group stage,Away,D 2–2,Tottenham,PSV Eindhoven,Y,AM,80,0,0,0,0,5,3,0,0,,,,,,0,,,,52.0,15.0,1.0,3.0,0.4,0.4,0.0,4.0,1.0,31.0,38.0,81.6,97.0,50.0,291.0,2.0,4.0
2018-11-06,Group stage,Home,W 2–1,Tottenham,PSV Eindhoven,Y,LW,74,0,0,0,0,2,0,1,0,,,,,,0,,,,55.0,11.0,1.0,1.0,0.1,0.1,0.0,2.0,0.0,35.0,42.0,83.3,76.0,44.0,182.0,0.0,1.0
2018-11-28,Group stage,Home,W 1–0,Tottenham,Inter,N,RWLW,29,0,0,0,0,0,0,1,0,,,,,,0,,,,15.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,87.5,11.0,13.0,57.0,1.0,3.0
2018-12-11,Group stage,Away,D 1–1,Tottenham,Barcelona,Y,RW,70,0,0,0,0,3,3,0,0,,,,,,1,,,,41.0,17.0,1.0,0.0,0.8,0.8,0.0,3.0,0.0,24.0,32.0,75.0,35.0,37.0,91.0,3.0,3.0
2019-02-13,Round of 16,Home,W 3–0,Tottenham,Dortmund,Y,FW,89,1,0,0,0,3,2,0,0,,,,,,0,,,,30.0,21.0,1.0,0.0,0.5,0.5,0.0,4.0,0.0,18.0,21.0,85.7,61.0,28.0,38.0,0.0,2.0
