Date,SonMarketValue,SonTeam
2010-01-08,150000,Hamburg
2010-06-08,500000,Hamburg
2010-11-23,1500000,Hamburg
2011-12-01,3000000,Hamburg
2011-01-29,3000000,Hamburg
2011-08-15,4500000,Hamburg
2012-01-23,4500000,Hamburg
2012-06-29,4500000,Hamburg
2012-10-26,8000000,Hamburg
2013-01-13,8000000,Hamburg
2013-11-03,13000000,Hamburg
2013-06-30,14000000,Hamburg
2014-10-07,14000000,Bayer Leverkusen
2015-04-02,16000000,Bayer Leverkusen
2015-01-07,16000000,Bayer Leverkusen
2015-10-14,25000000,Spurs
2016-09-02,25000000,Spurs
2016-01-08,25000000,Spurs
2017-02-20,25000000,Spurs
2017-06-28,30000000,Spurs
2018-02-01,35000000,Spurs
2018-05-28,50000000,Spurs
2018-12-19,50000000,Spurs
2019-05-03,65000000,Spurs
2019-06-13,80000000,Spurs
2019-10-12,80000000,Spurs
2020-08-04,63000000,Spurs
2020-10-13,75000000,Spurs
2020-12-17,90000000,Spurs
