Player,Span,Pos,Squad,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PassesCmp,PassesAtt,PassesCmp%,TotDist,PrgDist,KP,1/3,PPA,CrsPA,Prog,SCA,PassLive,PassDead,Drib,GCA,PassLive,PassDead,Drib,Touches,Mid 3rd,Att 3rd,Att Pen,DribSucc%,TotDist,PrgDist,CPA,xG,xA
Son Heung-min\Son-Heung-min,2020-21,FW,Tottenham,37,36,3114,34.6,0.49,0.29,0.78,0.46,0.75,1.97,1.01,51.5,1.97,1.01,0.24,0.46,26.6,34.7,76.7,422.1,93.8,2.23,0.92,0.84,0.06,1.85,3.38,2.14,0.81,0.23,0.43,0.32,0.06,0.06,44.5,19.0,23.5,4.13,62.3,164.9,85.0,0.95,0.30,0.26
Sadio Mané\Sadio-Mane,2020-21,FW,Liverpool,35,31,2810,31.2,0.35,0.22,0.58,0.35,0.58,2.98,1.12,37.6,2.98,1.12,0.12,0.31,25.7,34.1,75.4,433.4,92.2,1.83,1.19,2.15,0.32,3.37,3.97,2.82,0.03,0.32,0.38,0.22,0.00,0.00,51.0,19.4,32.6,9.07,59.2,219.0,123.3,1.73,0.49,0.18
Cristiano Ronaldo\Cristiano-Ronaldo,2020-21,FW,Juventus,33,31,2802,31.1,0.93,0.06,1.00,0.74,0.80,5.21,1.93,37.0,5.20,1.93,0.14,0.38,27.4,34.9,78.5,417.9,90.8,0.96,1.90,1.03,0.19,2.60,3.67,1.99,0.03,0.58,0.51,0.23,0.00,0.10,47.0,21.7,27.2,6.85,64.4,207.1,134.7,1.90,0.85,0.09
Mohamed Salah\Mohamed-Salah,2020-21,FW,Liverpool,37,34,3078,34.2,0.64,0.15,0.79,0.47,0.61,3.51,1.35,38.3,3.51,1.35,0.13,0.35,31.3,37.7,83.2,474.2,113.4,1.58,1.78,2.16,0.35,4.01,3.42,2.54,0.03,0.18,0.41,0.29,0.00,0.00,51.4,18.2,33.9,9.15,50.5,184.7,100.9,1.58,0.61,0.18
Kylian Mbappé\Kylian-Mbappe,2020-21,FW,Paris S-G,31,27,2380,26.4,1.02,0.26,1.29,0.79,1.06,3.71,1.78,48.0,3.71,1.78,0.21,0.45,30.8,39.1,78.6,421.9,77.7,1.33,1.40,1.36,0.23,2.31,4.05,2.61,0.00,0.72,1.06,0.49,0.00,0.27,54.6,18.7,38.7,10.5,46.6,241.9,163.4,2.61,0.93,0.17
Mason Mount\Mason-Mount,2020-21,MFFW,Chelsea,36,32,2890,32.1,0.19,0.16,0.34,0.16,0.31,2.55,0.81,31.7,2.55,0.81,0.06,0.19,48.2,58.6,82.3,854.6,230.6,2.80,4.49,1.81,0.22,5.67,5.08,2.77,1.46,0.31,0.44,0.16,0.16,0.03,71.4,34.2,34.7,4.58,63.3,277.6,154.1,1.18,0.21,0.24
Memphis Depay\Memphis-Depay,2020-21,FW,Lyon,37,33,2923,32.5,0.62,0.37,0.99,0.37,0.74,3.14,1.38,44.1,3.14,1.39,0.12,0.27,28.2,40.0,70.5,478.8,160.3,2.80,2.58,1.85,0.40,3.72,5.14,2.89,0.92,0.65,0.89,0.52,0.06,0.18,53.4,24.0,30.4,6.28,62.0,164.4,98.8,1.23,0.55,0.42
Kingsley Coman\Kingsley-Coman,2020-21,FWMF,Bayern Munich,29,23,1752,19.5,0.26,0.51,0.77,0.26,0.77,2.67,0.97,36.5,2.67,0.98,0.10,0.26,34.9,43.9,79.4,618.9,113.9,2.21,1.03,2.00,0.82,3.23,4.51,3.49,0.00,0.62,0.92,0.67,0.00,0.15,58.7,19.3,37.7,7.44,64.1,278.8,161.5,2.41,0.21,0.34
Antoine Griezmann\Antoine-Griezmann,2020-21,FWMF,Barcelona,36,32,2604,28.9,0.45,0.24,0.69,0.41,0.66,2.35,1.04,44.1,2.35,1.04,0.18,0.40,40.7,46.6,87.4,614.6,103.3,1.45,2.21,1.25,0.10,2.42,3.04,2.63,0.10,0.10,0.35,0.31,0.00,0.00,56.0,22.8,30.7,6.92,65.8,161.8,66.7,0.38,0.48,0.19
Riyad Mahrez\Riyad-Mahrez,2020-21,FW,Manchester City,27,23,1949,21.7,0.42,0.28,0.69,0.42,0.69,2.67,1.01,37.9,2.68,1.02,0.16,0.41,42.1,50.0,84.2,688.9,144.5,1.89,1.61,2.40,0.28,4.06,3.87,2.67,0.32,0.23,0.65,0.41,0.05,0.09,61.4,22.4,40.4,7.19,48.6,252.2,139.8,2.21,0.26,0.27
Serge Gnabry\Serge-Gnabry,2020-21,FWMF,Bayern Munich,27,20,1644,18.3,0.55,0.11,0.66,0.55,0.66,3.22,1.48,45.8,3.23,1.48,0.17,0.37,36.6,46.9,78.1,602.3,135.1,1.80,2.24,2.30,0.49,3.66,4.32,3.50,0.38,0.22,0.60,0.49,0.05,0.00,60.7,25.9,34.8,7.76,54.5,257.5,151.7,1.91,0.44,0.25
Raheem Sterling\Raheem-Sterling,2020-21,FW,Manchester City,31,28,2536,28.2,0.35,0.25,0.60,0.35,0.60,2.38,0.99,41.8,2.38,0.99,0.15,0.36,34.1,40.0,85.4,456.5,85.9,1.35,1.35,1.03,0.18,2.20,3.55,2.41,0.00,0.50,0.53,0.32,0.00,0.11,52.4,21.5,31.6,8.51,55.2,215.0,130.7,2.20,0.43,0.17
Marco Reus\Marco-Reus,2020-21,MFFW,Dortmund,32,27,2279,25.3,0.32,0.24,0.55,0.32,0.55,2.13,0.95,44.4,2.13,0.95,0.15,0.33,36.1,45.3,79.8,588.2,151.5,1.98,2.37,1.70,0.24,3.99,3.64,2.25,0.43,0.24,0.47,0.24,0.08,0.00,56.4,23.5,30.6,6.64,54.7,208.9,94.8,0.75,0.40,0.32
Jadon Sancho\Jadon-Sancho,2020-21,FWMF,Dortmund,26,24,2062,22.9,0.35,0.48,0.83,0.31,0.79,2.23,0.66,29.4,2.23,0.65,0.14,0.47,50.7,64.4,78.7,785.0,232.2,2.93,2.45,3.58,0.22,6.46,5.46,3.80,0.92,0.48,0.96,0.74,0.04,0.04,78.2,31.5,46.5,5.85,55.8,327.6,188.6,2.23,0.32,0.30
Neymar\Neymar,2020-21,MFFW,Paris S-G,18,15,1415,15.7,0.57,0.32,0.89,0.25,0.57,4.08,1.02,25.0,4.07,1.02,0.06,0.25,49.4,63.6,77.8,834.1,289.3,3.44,6.24,3.69,0.25,8.47,8.28,5.10,1.02,0.96,1.02,0.57,0.13,0.13,85.2,41.0,49.6,8.41,58.4,403.2,245.3,1.46,0.78,0.46
Angel Di Maria\Angel-Di-Maria,2020-21,FWMF,Paris S-G,27,23,1853,20.6,0.24,0.44,0.68,0.24,0.68,2.91,0.87,30.0,2.91,0.87,0.08,0.28,43.2,59.1,73.0,796.9,269.2,3.25,4.32,3.59,0.68,6.36,6.21,3.64,1.21,0.39,0.92,0.53,0.05,0.10,71.9,29.4,43.7,4.56,51.7,279.7,166.4,1.31,0.25,0.52
